index,topic_idx
45654,2
45655,3
45656,1
45657,1
45658,3
45659,1
45660,5
45661,3
45662,4
45663,1
45664,6
45665,6
45666,4
45667,3
45668,6
45669,1
45670,6
45671,2
45672,4
45673,0
45674,4
45675,4
45676,4
45677,3
45678,0
45679,3
45680,6
45681,6
45682,5
45683,2
45684,2
45685,4
45686,3
45687,2
45688,2
45689,4
45690,5
45691,4
45692,6
45693,5
45694,5
45695,3
45696,5
45697,3
45698,0
45699,5
45700,3
45701,6
45702,1
45703,3
45704,0
45705,4
45706,6
45707,4
45708,5
45709,0
45710,4
45711,6
45712,4
45713,3
45714,4
45715,4
45716,6
45717,4
45718,3
45719,0
45720,3
45721,5
45722,2
45723,4
45724,3
45725,4
45726,2
45727,3
45728,4
45729,5
45730,4
45731,2
45732,1
45733,2
45734,6
45735,1
45736,4
45737,2
45738,6
45739,5
45740,0
45741,1
45742,6
45743,1
45744,5
45745,5
45746,4
45747,4
45748,4
45749,3
45750,2
45751,2
45752,0
45753,1
45754,5
45755,6
45756,2
45757,4
45758,5
45759,4
45760,3
45761,4
45762,0
45763,3
45764,2
45765,2
45766,3
45767,4
45768,3
45769,5
45770,3
45771,3
45772,0
45773,2
45774,5
45775,3
45776,6
45777,0
45778,4
45779,1
45780,4
45781,4
45782,1
45783,4
45784,0
45785,2
45786,6
45787,4
45788,2
45789,2
45790,6
45791,3
45792,1
45793,3
45794,3
45795,2
45796,2
45797,2
45798,4
45799,0
45800,1
45801,1
45802,3
45803,2
45804,2
45805,0
45806,1
45807,6
45808,4
45809,5
45810,5
45811,3
45812,5
45813,6
45814,1
45815,5
45816,3
45817,1
45818,5
45819,3
45820,4
45821,1
45822,1
45823,1
45824,1
45825,2
45826,2
45827,1
45828,3
45829,4
45830,2
45831,3
45832,6
45833,3
45834,5
45835,1
45836,5
45837,5
45838,5
45839,3
45840,6
45841,0
45842,3
45843,0
45844,0
45845,2
45846,0
45847,2
45848,3
45849,2
45850,6
45851,0
45852,3
45853,2
45854,1
45855,3
45856,4
45857,6
45858,5
45859,3
45860,5
45861,5
45862,1
45863,0
45864,3
45865,5
45866,3
45867,0
45868,1
45869,0
45870,4
45871,1
45872,6
45873,2
45874,2
45875,3
45876,5
45877,1
45878,0
45879,5
45880,0
45881,2
45882,5
45883,3
45884,6
45885,4
45886,3
45887,6
45888,4
45889,4
45890,5
45891,1
45892,2
45893,1
45894,5
45895,5
45896,2
45897,6
45898,0
45899,4
45900,6
45901,4
45902,6
45903,4
45904,2
45905,5
45906,3
45907,5
45908,5
45909,4
45910,5
45911,4
45912,2
45913,4
45914,5
45915,4
45916,4
45917,3
45918,3
45919,2
45920,2
45921,4
45922,3
45923,5
45924,4
45925,2
45926,3
45927,0
45928,6
45929,2
45930,3
45931,6
45932,4
45933,4
45934,6
45935,0
45936,4
45937,4
45938,4
45939,6
45940,1
45941,2
45942,2
45943,2
45944,2
45945,2
45946,3
45947,4
45948,5
45949,6
45950,4
45951,6
45952,2
45953,2
45954,1
45955,6
45956,0
45957,4
45958,6
45959,6
45960,3
45961,2
45962,1
45963,6
45964,4
45965,0
45966,5
45967,1
45968,0
45969,0
45970,3
45971,5
45972,0
45973,6
45974,5
45975,4
45976,1
45977,2
45978,2
45979,2
45980,4
45981,0
45982,6
45983,5
45984,0
45985,2
45986,4
45987,1
45988,6
45989,1
45990,6
45991,2
45992,4
45993,3
45994,3
45995,5
45996,1
45997,2
45998,6
45999,1
46000,4
46001,1
46002,4
46003,1
46004,1
46005,4
46006,6
46007,4
46008,0
46009,3
46010,5
46011,5
46012,2
46013,5
46014,2
46015,0
46016,4
46017,1
46018,4
46019,0
46020,0
46021,1
46022,2
46023,5
46024,0
46025,1
46026,6
46027,2
46028,6
46029,3
46030,6
46031,4
46032,5
46033,4
46034,2
46035,1
46036,0
46037,6
46038,3
46039,0
46040,0
46041,3
46042,5
46043,2
46044,3
46045,1
46046,0
46047,4
46048,4
46049,2
46050,5
46051,3
46052,6
46053,5
46054,1
46055,6
46056,5
46057,4
46058,5
46059,2
46060,4
46061,6
46062,0
46063,3
46064,5
46065,3
46066,5
46067,2
46068,5
46069,6
46070,5
46071,1
46072,5
46073,3
46074,5
46075,5
46076,4
46077,6
46078,6
46079,6
46080,6
46081,3
46082,4
46083,1
46084,6
46085,1
46086,1
46087,1
46088,5
46089,3
46090,5
46091,6
46092,6
46093,3
46094,4
46095,1
46096,5
46097,0
46098,4
46099,2
46100,3
46101,3
46102,1
46103,5
46104,1
46105,3
46106,1
46107,1
46108,0
46109,1
46110,5
46111,0
46112,2
46113,3
46114,5
46115,2
46116,3
46117,1
46118,3
46119,6
46120,2
46121,5
46122,6
46123,0
46124,5
46125,1
46126,3
46127,5
46128,5
46129,4
46130,5
46131,3
46132,0
46133,2
46134,5
46135,4
46136,2
46137,4
46138,6
46139,4
46140,4
46141,6
46142,5
46143,5
46144,4
46145,2
46146,2
46147,3
46148,1
46149,6
46150,6
46151,4
46152,6
46153,4
46154,6
46155,3
46156,5
46157,2
46158,3
46159,3
46160,2
46161,2
46162,0
46163,2
46164,1
46165,0
46166,6
46167,3
46168,6
46169,0
46170,1
46171,4
46172,6
46173,2
46174,4
46175,1
46176,1
46177,0
46178,6
46179,5
46180,2
46181,6
46182,2
46183,3
46184,2
46185,1
46186,1
46187,5
46188,1
46189,6
46190,0
46191,5
46192,4
46193,3
46194,3
46195,6
46196,6
46197,3
46198,3
46199,0
46200,1
46201,5
46202,5
46203,5
46204,6
46205,5
46206,1
46207,6
46208,1
