index,topic_idx
45654,1
45655,4
45656,4
45657,0
45658,5
45659,5
45660,6
45661,5
45662,1
45663,2
45664,5
45665,2
45666,1
45667,6
45668,5
45669,5
45670,5
45671,2
45672,5
45673,4
45674,2
45675,0
45676,2
45677,2
45678,5
45679,3
45680,5
45681,3
45682,5
45683,5
45684,6
45685,2
45686,3
45687,0
45688,2
45689,3
45690,0
45691,6
45692,6
45693,6
45694,2
45695,6
45696,1
45697,2
45698,3
45699,2
45700,3
45701,6
45702,6
45703,5
45704,6
45705,5
45706,2
45707,5
45708,1
45709,2
45710,4
45711,6
45712,3
45713,3
45714,6
45715,4
45716,2
45717,0
45718,2
45719,4
45720,0
45721,6
45722,3
45723,0
45724,6
45725,6
45726,3
45727,4
45728,6
45729,0
45730,1
45731,6
45732,4
45733,0
45734,4
45735,3
45736,2
45737,6
45738,4
45739,5
45740,6
45741,2
45742,1
45743,6
45744,5
45745,2
45746,1
45747,3
45748,4
45749,2
45750,2
45751,6
45752,4
45753,6
45754,6
45755,1
45756,3
45757,2
45758,3
45759,4
45760,4
45761,1
45762,1
45763,0
45764,0
45765,3
45766,5
45767,3
45768,1
45769,0
45770,3
45771,3
45772,5
45773,0
45774,0
45775,2
45776,2
45777,4
45778,2
45779,5
45780,5
45781,6
45782,6
45783,4
45784,2
45785,4
45786,0
45787,2
45788,6
45789,2
45790,0
45791,5
45792,3
45793,2
45794,1
45795,3
45796,2
45797,3
45798,2
45799,2
45800,5
45801,6
45802,0
45803,3
45804,4
45805,5
45806,1
45807,4
45808,2
45809,2
45810,1
45811,4
45812,2
45813,0
45814,2
45815,0
45816,4
45817,1
45818,3
45819,2
45820,2
45821,2
45822,4
45823,4
45824,5
45825,4
45826,6
45827,2
45828,5
45829,0
45830,4
45831,4
45832,1
45833,3
45834,5
45835,4
45836,0
45837,3
45838,1
45839,1
45840,2
45841,1
45842,2
45843,5
45844,1
45845,2
45846,2
45847,4
45848,5
45849,4
45850,2
45851,0
45852,4
45853,4
45854,3
45855,4
45856,2
45857,4
45858,0
45859,3
45860,5
45861,5
45862,1
45863,2
45864,3
45865,4
45866,5
45867,2
45868,3
45869,4
45870,6
45871,2
45872,2
45873,3
45874,2
45875,1
45876,4
45877,6
45878,2
45879,4
45880,6
45881,4
45882,6
45883,1
45884,2
45885,4
45886,2
45887,2
45888,4
45889,2
45890,6
45891,2
45892,0
45893,0
45894,2
45895,0
45896,4
45897,6
45898,6
45899,4
45900,1
45901,2
45902,4
45903,4
45904,3
45905,4
45906,3
45907,4
45908,3
45909,1
45910,0
45911,1
45912,2
45913,6
45914,0
45915,3
45916,2
45917,4
45918,2
45919,1
45920,4
45921,6
45922,3
45923,3
45924,3
45925,1
45926,2
45927,2
45928,5
45929,4
45930,3
45931,4
45932,3
45933,4
45934,2
45935,4
45936,4
45937,3
45938,6
45939,2
45940,5
45941,0
45942,2
45943,6
45944,1
45945,1
45946,2
45947,4
45948,6
45949,5
45950,5
45951,4
45952,0
45953,2
45954,2
45955,6
45956,4
45957,3
45958,6
45959,4
45960,2
45961,1
45962,4
45963,2
45964,4
45965,3
45966,3
45967,4
45968,1
45969,1
45970,2
45971,6
45972,4
45973,4
45974,2
45975,0
45976,0
45977,1
45978,4
45979,6
45980,0
45981,4
45982,2
45983,4
45984,0
45985,6
45986,0
45987,6
45988,6
45989,0
45990,4
45991,3
45992,2
45993,5
45994,3
45995,6
45996,0
45997,3
45998,1
45999,6
46000,2
46001,6
46002,0
46003,3
46004,2
46005,2
46006,4
46007,6
46008,4
46009,0
46010,1
46011,6
46012,3
46013,2
46014,0
46015,3
46016,5
46017,6
46018,2
46019,6
46020,4
46021,5
46022,4
46023,6
46024,2
46025,0
46026,6
46027,3
46028,2
46029,0
46030,5
46031,3
46032,4
46033,1
46034,4
46035,6
46036,3
46037,1
46038,2
46039,2
46040,0
46041,5
46042,0
46043,4
46044,4
46045,2
46046,2
46047,3
46048,6
46049,2
46050,4
46051,2
46052,2
46053,4
46054,2
46055,2
46056,1
46057,1
46058,4
46059,6
46060,5
46061,4
46062,3
46063,3
46064,2
46065,6
46066,3
46067,2
46068,2
46069,0
46070,2
46071,3
46072,0
46073,4
46074,2
46075,2
46076,4
46077,2
46078,2
46079,3
46080,4
46081,5
46082,6
46083,0
46084,4
46085,6
46086,3
46087,2
46088,1
46089,3
46090,4
46091,3
46092,0
46093,3
46094,3
46095,6
46096,5
46097,1
46098,1
46099,1
46100,1
46101,1
46102,6
46103,4
46104,6
46105,4
46106,0
46107,6
46108,6
46109,5
46110,0
46111,4
46112,2
46113,0
46114,4
46115,3
46116,2
46117,3
46118,4
46119,6
46120,3
46121,4
46122,2
46123,4
46124,1
46125,4
46126,6
46127,5
46128,2
46129,4
46130,2
46131,4
46132,1
46133,3
46134,0
46135,2
46136,5
46137,2
46138,0
46139,3
46140,4
46141,2
46142,4
46143,5
46144,2
46145,5
46146,6
46147,0
46148,1
46149,2
46150,4
46151,4
46152,4
46153,2
46154,4
46155,3
46156,2
46157,3
46158,3
46159,3
46160,4
46161,3
46162,4
46163,4
46164,0
46165,3
46166,2
46167,5
46168,5
46169,2
46170,4
46171,4
46172,6
46173,6
46174,1
46175,6
46176,2
46177,0
46178,1
46179,4
46180,2
46181,5
46182,2
46183,4
46184,5
46185,2
46186,5
46187,5
46188,4
46189,0
