index,topic_idx
45654,6
45655,6
45656,1
45657,6
45658,3
45659,4
45660,1
45661,3
45662,6
45663,3
45664,0
45665,4
45666,4
45667,3
45668,5
45669,4
45670,0
45671,6
45672,5
45673,3
45674,4
45675,5
45676,6
45677,4
45678,4
45679,5
45680,5
45681,4
45682,0
45683,3
45684,6
45685,3
45686,4
45687,2
45688,1
45689,6
45690,2
45691,4
45692,0
45693,0
45694,2
45695,5
45696,4
45697,6
45698,1
45699,2
45700,6
45701,6
45702,5
45703,5
45704,2
45705,4
45706,2
45707,0
45708,1
45709,6
45710,5
45711,2
45712,5
45713,0
45714,4
45715,4
45716,4
45717,6
45718,3
45719,5
45720,4
45721,2
45722,1
45723,3
45724,4
45725,4
45726,2
45727,4
45728,0
45729,5
45730,1
45731,4
45732,4
45733,5
45734,0
45735,3
45736,5
45737,4
45738,4
45739,0
45740,4
45741,4
45742,3
45743,0
45744,5
45745,0
45746,2
45747,4
45748,4
45749,2
45750,5
45751,6
45752,2
45753,4
45754,0
45755,4
45756,2
45757,4
45758,2
45759,4
45760,4
45761,2
45762,4
45763,2
45764,2
45765,3
45766,5
45767,6
45768,5
45769,0
45770,3
45771,2
45772,2
45773,6
45774,0
45775,3
45776,2
45777,0
45778,0
45779,1
45780,5
45781,4
45782,4
45783,2
45784,2
45785,2
45786,0
45787,0
45788,3
45789,4
45790,2
45791,6
45792,4
45793,3
45794,4
45795,2
45796,4
45797,2
45798,6
45799,4
45800,5
45801,2
45802,4
45803,3
45804,2
45805,4
45806,4
45807,0
45808,6
45809,6
45810,5
45811,3
45812,6
45813,3
45814,6
45815,2
45816,3
45817,4
45818,1
45819,3
45820,4
45821,4
45822,4
45823,4
45824,5
45825,6
45826,6
45827,2
45828,2
45829,4
45830,0
45831,4
45832,1
45833,4
45834,3
45835,4
45836,2
45837,0
45838,1
45839,2
45840,6
45841,4
45842,3
45843,3
45844,1
45845,0
45846,6
45847,6
45848,2
45849,1
45850,1
45851,4
45852,6
45853,5
45854,6
45855,3
45856,4
45857,4
45858,2
45859,3
45860,5
45861,4
45862,2
45863,4
45864,2
45865,2
45866,6
45867,4
45868,2
45869,5
45870,4
45871,2
45872,1
45873,4
45874,2
45875,4
45876,5
45877,2
45878,5
45879,2
45880,4
45881,0
45882,5
45883,5
45884,5
45885,4
45886,6
45887,6
45888,0
45889,4
45890,0
45891,2
45892,6
45893,3
45894,2
45895,6
45896,3
45897,6
45898,3
45899,6
45900,3
45901,0
45902,0
45903,2
45904,1
45905,2
45906,4
45907,3
45908,4
45909,0
45910,1
45911,4
45912,1
45913,4
45914,2
45915,2
45916,6
45917,4
45918,4
45919,3
45920,5
45921,1
45922,0
45923,4
45924,4
45925,6
45926,4
45927,4
45928,1
45929,5
45930,2
45931,3
45932,4
45933,0
45934,6
45935,3
45936,0
45937,4
45938,1
45939,5
45940,4
45941,3
45942,1
45943,0
45944,3
45945,4
45946,1
45947,4
45948,1
45949,4
45950,2
45951,4
45952,2
45953,4
45954,2
45955,0
45956,6
45957,2
45958,4
45959,3
45960,5
45961,4
45962,2
45963,3
45964,4
45965,4
45966,5
45967,4
45968,2
45969,5
45970,6
45971,2
45972,6
45973,5
45974,6
45975,5
45976,1
45977,0
45978,0
45979,6
45980,2
45981,5
45982,1
45983,6
45984,2
45985,2
45986,6
45987,3
45988,0
45989,3
45990,2
45991,0
45992,2
45993,3
45994,2
45995,3
45996,2
45997,4
45998,4
45999,2
46000,6
46001,1
46002,6
46003,3
46004,2
46005,4
46006,4
46007,4
46008,3
46009,0
46010,3
46011,2
46012,6
46013,3
46014,4
46015,0
46016,6
46017,6
46018,2
46019,4
46020,4
46021,3
46022,4
46023,5
46024,4
46025,0
46026,6
46027,6
46028,5
46029,4
46030,5
46031,1
46032,2
46033,2
46034,4
46035,4
46036,6
46037,4
46038,3
46039,2
46040,6
46041,2
46042,6
46043,2
46044,3
46045,2
46046,4
46047,0
46048,3
46049,2
46050,2
46051,4
46052,4
46053,4
46054,6
46055,1
46056,6
46057,4
46058,3
46059,3
46060,4
46061,4
46062,2
46063,3
46064,0
46065,6
46066,0
46067,4
46068,6
46069,5
46070,4
46071,1
46072,6
46073,3
46074,2
46075,0
46076,2
46077,3
46078,2
46079,5
46080,0
46081,3
46082,6
46083,4
46084,0
46085,2
46086,3
46087,6
46088,2
46089,6
46090,3
46091,0
46092,0
46093,2
46094,4
46095,2
46096,1
46097,4
46098,4
46099,5
46100,4
46101,5
46102,3
46103,6
46104,0
46105,3
46106,4
46107,3
46108,6
46109,0
46110,1
46111,2
46112,3
46113,3
46114,2
46115,3
46116,3
46117,6
46118,3
46119,0
46120,6
46121,3
46122,5
46123,3
46124,3
46125,0
46126,3
46127,3
46128,6
46129,5
46130,3
46131,4
46132,4
46133,1
46134,4
46135,0
46136,1
46137,5
46138,4
46139,1
46140,1
46141,0
46142,4
46143,0
46144,5
46145,6
46146,5
46147,1
46148,2
46149,1
46150,4
46151,4
46152,0
46153,0
46154,4
46155,6
46156,1
46157,4
46158,3
46159,4
46160,2
46161,6
46162,6
46163,2
46164,2
46165,4
46166,0
46167,3
46168,0
46169,4
46170,5
46171,2
46172,3
46173,3
46174,5
46175,4
46176,4
46177,5
46178,2
46179,5
46180,2
46181,0
46182,4
46183,0
46184,0
46185,6
46186,4
46187,5
46188,2
46189,2
46190,4
46191,4
46192,0
46193,5
46194,5
46195,3
46196,4
46197,3
46198,2
46199,2
46200,3
46201,3
46202,6
46203,0
46204,3
46205,1
46206,6
46207,1
46208,5
46209,6
46210,0
46211,5
46212,4
46213,1
46214,3
46215,2
46216,6
46217,6
46218,1
46219,4
46220,6
46221,1
46222,4
46223,0
46224,2
46225,4
46226,1
46227,6
46228,4
46229,4
46230,6
46231,2
46232,0
46233,4
46234,3
46235,1
46236,6
46237,4
46238,6
46239,4
46240,0
46241,6
46242,2
46243,5
46244,3
46245,1
46246,6
46247,3
46248,6
46249,5
46250,5
46251,2
46252,5
46253,0
46254,2
46255,5
46256,3
46257,6
46258,3
46259,6
46260,2
46261,4
46262,3
46263,0
46264,4
46265,5
46266,0
46267,3
46268,2
46269,5
46270,2
46271,6
46272,4
46273,0
46274,1
46275,2
46276,6
46277,2
